Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
21777232,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
21777464,00000523,false,Rx,3,8,1B,3B,3C,3C,FF,FF,00,01,
21777698,00000524,false,Rx,3,8,00,00,FF,00,00,00,7F,00,
21780103,00000109,false,Rx,3,8,00,01,00,00,00,00,00,01,
21780290,00000200,false,Rx,3,8,00,00,00,08,FE,13,3C,64,
21780569,00000201,false,Rx,3,8,01,00,00,00,00,00,00,01,
21780804,00000202,false,Rx,3,8,00,00,20,00,00,00,00,20,
360361,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
360538,00000523,false,Rx,3,8,1B,3B,3C,3C,FF,FF,00,01,
360785,00000524,false,Rx,3,8,00,00,FF,00,00,00,7F,00,
363166,00000109,false,Rx,3,8,00,01,00,00,00,00,00,12,
363413,00000200,false,Rx,3,8,00,00,00,08,FE,53,3C,64,
363661,00000201,false,Rx,3,8,41,00,00,00,00,00,00,41,
363908,00000202,false,Rx,3,8,20,00,20,00,00,00,00,00,
370376,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
370558,00000523,false,Rx,3,8,1B,3B,3C,3C,FF,FF,00,01,
370813,00000524,false,Rx,3,8,00,00,FF,00,00,00,7F,00,
372662,000002A1,false,Rx,3,8,01,00,00,14,01,16,08,00,
373142,00000109,false,Rx,3,8,00,01,00,00,00,00,00,23,
373389,00000200,false,Rx,3,8,00,00,00,08,FE,93,3C,64,
373639,00000201,false,Rx,3,8,81,00,00,00,00,00,00,81,
373886,00000202,false,Rx,3,8,40,00,20,00,00,00,00,60,
380337,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
380518,00000523,false,Rx,3,8,1B,3B,3C,3C,FF,FF,00,01,
380767,00000524,false,Rx,3,8,00,00,FF,00,00,00,7F,00,
383150,00000109,false,Rx,3,8,00,01,00,00,00,00,00,34,
383397,00000200,false,Rx,3,8,00,00,00,08,FE,D3,3C,64,
383647,00000201,false,Rx,3,8,C1,00,00,00,00,00,00,C1,
383894,00000202,false,Rx,3,8,60,00,20,00,00,00,00,40,
390382,00000291,false,Rx,3,8,00,00,FF,7F,00,00,00,00,
