Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
97637502,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,06,
97637871,000004EE,false,Rx,0,8,00,00,00,00,00,00,00,06,
97638137,0000057F,false,Rx,0,8,80,0A,66,00,00,00,00,00,
97638369,00000581,false,Rx,0,8,00,00,00,00,00,00,00,00,
97638605,0000058E,false,Rx,0,8,00,01,00,EF,28,20,00,C0,
97638942,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,1B,
97639208,00000200,false,Rx,0,8,00,80,49,04,00,7B,3C,00,
97639547,00000201,false,Rx,0,8,51,00,00,00,00,00,00,51,
97639805,00000202,false,Rx,0,8,22,00,20,00,00,00,00,02,
97640045,00000491,false,Rx,0,8,18,00,00,00,00,00,00,00,
97640303,00000493,false,Rx,0,8,00,0E,FC,11,00,00,2C,01,
97640537,000004E2,false,Rx,0,8,AF,00,C3,00,00,00,00,00,
97640769,00000542,false,Rx,0,8,A6,2C,01,00,00,00,FF,FF,
97641009,00000594,false,Rx,0,8,C7,1C,48,26,C4,9F,00,00,
97641241,00000595,false,Rx,0,8,03,00,C2,C3,09,00,9B,0E,
97641475,00000596,false,Rx,0,8,00,92,00,00,18,00,02,03,
97641706,00000597,false,Rx,0,8,05,50,00,00,00,00,00,00,
97641972,00000598,false,Rx,0,8,00,00,00,00,4D,53,02,02,
97642204,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
97642463,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
97642695,0000059E,false,Rx,0,8,00,00,00,00,9B,0E,00,00,
97642961,000005A3,false,Rx,0,8,4F,00,00,00,00,00,00,00,
97643193,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
97643398,000002B0,false,Rx,0,5,59,00,00,00,00,00,00,00,
97643632,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
97643863,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,20,
97644103,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
97644361,000005D5,false,Rx,0,8,00,00,00,00,00,00,00,00,
97644596,000005D6,false,Rx,0,8,C2,C3,09,00,02,03,00,62,
97644828,00000153,false,Rx,0,8,20,00,10,F2,00,F2,10,24,
97645041,00000220,false,Rx,0,7,11,C4,81,00,00,B1,0F,00,
97645299,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
97645532,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
97645764,00000387,false,Rx,0,8,1B,7A,2C,CE,00,9B,0C,00,
97646004,00000394,false,Rx,0,8,0E,C4,00,00,0E,84,17,83,
97646156,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
97646414,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
97646648,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
97646880,000005D8,false,Rx,0,8,40,A6,03,00,50,00,9B,0E,
97647094,00000471,false,Rx,0,6,04,00,10,00,00,20,00,00,
97647326,000005F5,false,Rx,0,8,00,1E,00,14,0B,C9,59,91,
97647587,000005F6,false,Rx,0,8,00,00,00,00,00,00,1E,00,
97647819,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,17,
97648059,000005F7,false,Rx,0,8,00,1E,00,00,00,58,00,00,
97648291,000005F8,false,Rx,0,8,7D,00,E9,0F,CC,7A,60,74,
97648526,000005F9,false,Rx,0,8,86,74,FF,FF,00,00,00,AD,
97648950,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,2C,
97649208,00000200,false,Rx,0,8,00,80,49,04,00,BB,3C,00,
97649440,00000201,false,Rx,0,8,91,00,00,00,00,00,00,91,
97649675,00000202,false,Rx,0,8,42,00,20,00,00,00,00,62,
97653133,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
97653392,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
97653758,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,11,
97653937,000002B0,false,Rx,0,5,59,00,00,00,00,00,00,00,
97654198,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
97654792,00000220,false,Rx,0,7,11,E4,81,00,00,AC,0F,00,
97655042,00000153,false,Rx,0,8,20,00,10,F2,00,F2,20,34,
97655294,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
97655561,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
97655775,00000386,false,Rx,0,8,00,80,00,40,00,40,00,80,
62087,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,28,
63559,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,3D,
63581,00000200,false,Rx,0,8,00,80,49,04,00,FB,3C,00,
63597,00000201,false,Rx,0,8,D1,00,00,00,00,00,00,D1,
63803,00000202,false,Rx,0,8,62,00,20,00,00,00,00,42,
67006,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
67195,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
67367,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
67619,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
67866,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,02,
68725,00000220,false,Rx,0,7,10,24,82,00,00,AA,0F,00,
69207,00000153,false,Rx,0,8,20,00,10,F2,00,F2,30,44,
69457,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
70017,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
70242,00000387,false,Rx,0,8,1B,7A,2C,CE,00,9C,0D,00,
70493,00000394,false,Rx,0,8,11,E4,00,00,11,84,1D,83,
70742,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
71073,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
71320,00000471,false,Rx,0,6,04,00,10,00,00,24,00,00,
71568,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,39,
71815,00000541,false,Rx,0,8,03,00,40,00,C0,00,00,0C,
72032,0000055C,false,Rx,0,8,8D,C0,90,9E,FE,1D,01,00,
72313,0000055F,false,Rx,0,8,00,00,00,00,00,00,00,00,
72565,00000561,false,Rx,0,8,00,00,00,00,00,00,00,00,
72812,00000567,false,Rx,0,8,40,10,09,04,01,00,00,00,
73220,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,0A,
74170,00000578,false,Rx,0,6,10,00,00,00,00,00,00,00,
74574,00000588,false,Rx,0,8,A4,49,A4,49,00,00,00,00,
75085,000005EC,false,Rx,0,8,00,00,00,00,00,00,00,00,
75332,00000200,false,Rx,0,8,00,80,49,04,00,3B,3C,00,
75582,00000201,false,Rx,0,8,11,00,00,00,00,00,00,11,
75912,00000202,false,Rx,0,8,02,00,20,00,00,00,00,22,
76920,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
77167,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
77493,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
77664,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,F3,
77920,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
78167,00000570,false,Rx,0,8,00,00,4A,00,00,00,00,00,
78791,00000220,false,Rx,0,7,10,24,82,00,00,AE,0F,00,
78970,00000153,false,Rx,0,8,20,00,10,F2,00,F2,40,54,
79217,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
79467,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
79713,00000386,false,Rx,0,8,00,C0,00,40,00,40,00,80,
79885,00000507,false,Rx,0,4,00,00,00,01,00,00,00,00,
80518,00000490,false,Rx,0,7,00,00,08,00,00,00,00,00,
81452,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,06,
83591,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,1B,
83612,00000200,false,Rx,0,8,00,80,49,04,00,7B,3C,00,
83629,00000201,false,Rx,0,8,51,00,00,00,00,00,00,51,
83743,00000202,false,Rx,0,8,22,00,20,00,00,00,00,02,
86138,000005E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
86385,000005E6,false,Rx,0,8,00,F0,00,00,00,00,00,00,
86636,000005E8,false,Rx,0,8,00,00,00,00,00,00,00,00,
86883,000005E9,false,Rx,0,8,01,00,00,00,00,00,00,00,
87137,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
87309,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
87558,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
87805,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,E4,
88060,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
88536,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
88783,00000153,false,Rx,0,8,20,00,10,F2,00,F2,50,64,
