Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1722777328,00000200,false,Rx,0,8,00,80,49,04,00,BB,3C,00,
1722777590,00000201,false,Rx,0,8,91,00,00,00,00,00,00,91,
1722777822,00000202,false,Rx,0,8,42,00,20,00,00,00,00,62,
1722778540,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,D5,
1722779464,000002B0,false,Rx,0,5,1A,00,00,00,00,00,00,00,
1722780839,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,39,
1722781052,00000153,false,Rx,0,8,20,00,10,F2,00,F2,50,64,
1722781284,00000220,false,Rx,0,7,11,C4,81,00,00,A9,0F,00,
1722781704,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
1722781936,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
1722782203,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
1722782434,00000386,false,Rx,0,8,00,40,00,C0,00,40,00,80,
1722782882,00000523,false,Rx,0,8,0C,38,39,39,30,2C,00,00,
1722783148,00000524,false,Rx,0,8,74,01,00,00,00,00,00,00,
1722787109,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,3D,
1722787342,00000200,false,Rx,0,8,00,80,49,04,00,FB,3C,00,
1722787575,00000201,false,Rx,0,8,D1,00,00,00,00,00,00,D1,
1722787834,00000202,false,Rx,0,8,62,00,20,00,00,00,00,42,
1722788074,0000050D,false,Rx,0,8,00,00,00,00,00,00,00,00,
1722788306,000005F5,false,Rx,0,8,00,1E,00,14,02,C9,58,99,
1722788540,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,C6,
1722788799,000005F6,false,Rx,0,8,00,00,00,00,00,00,1E,00,
1722788986,000002B0,false,Rx,0,5,18,00,00,00,00,00,00,00,
1722789244,000005F7,false,Rx,0,8,00,1E,00,00,00,58,00,00,
1722789476,000005F8,false,Rx,0,8,7E,00,E9,0F,CD,7A,5D,82,
1722789708,000005F9,false,Rx,0,8,76,6D,FF,FF,00,00,00,B9,
1722790819,00000220,false,Rx,0,7,10,A4,81,00,00,AB,0F,00,
1722791058,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,06,
1722791290,00000153,false,Rx,0,8,20,00,10,F2,00,F2,60,74,
1722791549,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
1722791781,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
1722792047,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
1722792279,00000387,false,Rx,0,8,C1,10,C3,69,00,04,07,00,
1722792788,00000394,false,Rx,0,8,0D,04,00,00,0D,84,15,83,
1722793201,00000523,false,Rx,0,8,0C,38,39,39,30,2C,00,00,
1722793494,00000524,false,Rx,0,8,74,01,00,00,00,00,00,00,
1722793986,00000414,false,Rx,0,8,00,00,00,00,00,00,00,00,
1722794105,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
1722794350,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
1722794572,00000471,false,Rx,0,6,04,00,10,00,00,28,00,00,
1722794813,000004FE,false,Rx,0,8,FF,FF,7F,FF,FF,00,FF,FF,
1722795052,00000541,false,Rx,0,8,03,00,40,80,C0,00,00,0C,
1722795310,00000553,false,Rx,0,8,04,00,00,02,00,00,80,00,
1722795581,0000055C,false,Rx,0,8,8D,C0,90,9E,FE,1D,01,00,
1722795859,0000055F,false,Rx,0,8,00,00,00,00,00,00,00,00,
1722796104,00000561,false,Rx,0,8,00,00,00,00,00,00,00,00,
1722796364,00000567,false,Rx,0,8,40,10,29,18,01,00,00,00,
1722796599,00000578,false,Rx,0,6,10,00,00,00,00,00,00,00,
47145,00000588,false,Rx,0,8,A4,49,A4,49,00,00,00,00,
47173,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,0A,
47189,00000200,false,Rx,0,8,00,80,49,04,00,3B,3C,00,
47205,00000201,false,Rx,0,8,11,00,00,00,00,00,00,11,
47221,00000202,false,Rx,0,8,02,00,20,00,00,00,00,22,
47237,000005B3,false,Rx,0,8,40,14,FE,00,00,00,00,00,
47253,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,B7,
47269,000005DF,false,Rx,0,8,05,1C,01,00,00,00,00,00,
47285,000005EC,false,Rx,0,8,00,00,00,00,00,00,00,00,
48805,000002B0,false,Rx,0,5,19,00,00,00,00,00,00,00,
48825,00000490,false,Rx,0,7,00,00,08,00,00,00,00,00,
48848,00000220,false,Rx,0,7,10,E4,81,00,00,AD,0F,00,
48973,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,17,
49229,00000153,false,Rx,0,8,20,00,10,F2,00,F2,70,84,
49403,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
49650,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
49906,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
50153,00000386,false,Rx,0,8,00,80,00,C0,00,40,00,80,
50403,00000523,false,Rx,0,8,0C,38,39,39,30,2C,00,00,
50688,00000524,false,Rx,0,8,74,01,00,00,00,00,00,00,
55206,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,1B,
55386,00000200,false,Rx,0,8,00,80,49,04,00,7B,3C,00,
55633,00000201,false,Rx,0,8,51,00,00,00,00,00,00,51,
55889,00000202,false,Rx,0,8,22,00,20,00,00,00,00,02,
56136,000004EE,false,Rx,0,8,00,00,00,00,00,00,00,06,
56386,0000057F,false,Rx,0,8,80,0A,68,00,00,00,00,00,
56633,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,A8,
56888,00000581,false,Rx,0,8,00,00,00,00,00,00,00,00,
57135,0000058E,false,Rx,0,8,00,01,00,EF,28,20,00,C0,
57384,000002B0,false,Rx,0,5,1A,00,00,00,00,00,00,00,
58694,00000220,false,Rx,0,7,0E,04,82,00,00,AB,0F,00,
58950,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,28,
59197,00000153,false,Rx,0,8,20,00,10,F2,00,F2,80,94,
59599,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
59855,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
60102,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
60351,00000387,false,Rx,0,8,C1,10,C3,69,00,05,08,00,
60598,00000394,false,Rx,0,8,10,24,00,00,10,84,1B,83,
60856,00000523,false,Rx,0,8,0C,38,39,39,30,2C,00,00,
61178,00000524,false,Rx,0,8,74,01,00,00,00,00,00,00,
61579,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
61909,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
62081,00000471,false,Rx,0,6,04,00,10,00,00,6C,00,00,
65034,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,2C,
65281,00000200,false,Rx,0,8,00,80,49,04,00,BB,3C,00,
65531,00000201,false,Rx,0,8,91,00,00,00,00,00,00,91,
65778,00000202,false,Rx,0,8,42,00,20,00,00,00,00,62,
66411,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,99,
68788,000002B0,false,Rx,0,5,18,00,00,00,00,00,00,00,
68811,00000594,false,Rx,0,8,BE,1D,48,26,C4,9D,01,00,
68829,00000153,false,Rx,0,8,20,00,10,F2,00,F2,90,A4,
69030,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,39,
69277,00000220,false,Rx,0,7,0C,E4,81,00,00,AC,0F,00,
69678,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
70086,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
70333,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
70582,00000386,false,Rx,0,8,00,C0,00,C0,00,40,00,80,
71066,00000491,false,Rx,0,8,17,00,00,00,00,00,00,00,
71313,00000493,false,Rx,0,8,00,0E,FC,11,00,00,3B,01,
71790,000004E2,false,Rx,0,8,B4,00,CD,00,00,00,00,00,
72274,00000542,false,Rx,0,8,A4,3B,01,00,00,00,FF,FF,
72524,00000523,false,Rx,0,8,0C,38,39,39,30,2C,00,00,
73008,00000524,false,Rx,0,8,74,01,00,00,00,00,00,00,
73255,00000595,false,Rx,0,8,04,00,C1,C2,07,00,8D,0E,
73504,00000596,false,Rx,0,8,00,92,00,00,17,00,02,03,
73751,00000597,false,Rx,0,8,85,50,00,00,00,00,00,00,
74006,00000598,false,Rx,0,8,00,00,00,00,FF,52,03,02,
74253,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
74502,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
74749,0000059E,false,Rx,0,8,00,00,00,00,8D,0E,00,00,
75082,000005A3,false,Rx,0,8,4F,00,00,00,00,00,00,00,
75484,000005D5,false,Rx,0,8,00,00,00,00,00,00,00,00,
75809,000005D6,false,Rx,0,8,C1,C2,07,00,02,03,00,62,
76063,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,3D,
76310,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
76787,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,8A,
76967,00000200,false,Rx,0,8,00,80,49,04,00,FB,3C,00,
77214,000005D8,false,Rx,0,8,40,A4,04,00,50,00,8D,0E,
77692,000002B0,false,Rx,0,5,18,00,00,00,00,00,00,00,
77947,00000201,false,Rx,0,8,D1,00,00,00,00,00,00,D1,
78194,00000202,false,Rx,0,8,62,00,20,00,00,00,00,42,
78743,00000220,false,Rx,0,7,0E,C4,81,00,00,AF,0F,00,
78998,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,06,
79170,00000153,false,Rx,0,8,20,00,10,F2,00,F2,A0,B4,
79648,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
80056,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
80303,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
80478,00000387,false,Rx,0,8,C1,10,C3,69,00,06,09,00,
80961,00000394,false,Rx,0,8,0E,44,00,00,0E,84,1F,83,
81362,00000523,false,Rx,0,8,0C,38,39,39,30,2C,00,00,
81534,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
