# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:51.330361] EVRESSSOC=28
[1970-01-01 01:00:51.920365] EVRESSSOC=28
[1970-01-01 01:00:52.510346] EVRESSSOC=28
[1970-01-01 01:00:53.410304] EVRESSSOC=28
[1970-01-01 01:00:53.890305] EVRESSSOC=28
[1970-01-01 01:00:54.370325] EVRESSSOC=28
[1970-01-01 01:00:54.850286] EVRESSSOC=28
[1970-01-01 01:00:55.330280] EVRESSSOC=28
[1970-01-01 01:00:55.810274] EVRESSSOC=28
[1970-01-01 01:00:56.290275] EVRESSSOC=28
[1970-01-01 01:00:56.770292] EVRESSSOC=28
[1970-01-01 01:00:57.250256] EVRESSSOC=28
[1970-01-01 01:00:57.730251] EVRESSSOC=28
[1970-01-01 01:00:58.210245] EVRESSSOC=28
[1970-01-01 01:00:58.690246] EVRESSSOC=28
[1970-01-01 01:00:59.170285] EVRESSSOC=28
[1970-01-01 01:00:59.650227] EVRESSSOC=28
[1970-01-01 01:01:00.130221] EVRESSSOC=28
[1970-01-01 01:01:00.610215] EVRESSSOC=28
[1970-01-01 01:01:01.090216] EVRESSSOC=28
[1970-01-01 01:01:01.570204] EVRESSSOC=28
[1970-01-01 01:01:02.050198] EVRESSSOC=28
[1970-01-01 01:01:02.700210] EVTargetVoltage=345.1
[1970-01-01 01:01:02.700210] EVTargetCurrent=1.0
[1970-01-01 01:01:02.700210] EVRESSSOC=28
[1970-01-01 01:01:02.910197] EVSEPresentVoltage=173.5
[1970-01-01 01:01:02.990202] EVTargetVoltage=345.1
[1970-01-01 01:01:02.990202] EVTargetCurrent=1.0
[1970-01-01 01:01:02.990202] EVRESSSOC=28
[1970-01-01 01:01:03.200205] EVSEPresentVoltage=172.5
[1970-01-01 01:01:03.280236] EVTargetVoltage=345.1
[1970-01-01 01:01:03.280236] EVTargetCurrent=1.0
[1970-01-01 01:01:03.280236] EVRESSSOC=28
[1970-01-01 01:01:03.490197] EVSEPresentVoltage=171.5
[1970-01-01 01:01:03.570188] EVTargetVoltage=345.1
[1970-01-01 01:01:03.570188] EVTargetCurrent=1.0
[1970-01-01 01:01:03.570188] EVRESSSOC=28
[1970-01-01 01:01:03.780231] EVSEPresentVoltage=170.5
[1970-01-01 01:01:03.860196] EVTargetVoltage=345.1
[1970-01-01 01:01:03.860196] EVTargetCurrent=1.0
[1970-01-01 01:01:03.860196] EVRESSSOC=28
[1970-01-01 01:01:04.070183] EVSEPresentVoltage=169.5
[1970-01-01 01:01:04.150181] EVTargetVoltage=345.1
[1970-01-01 01:01:04.150181] EVTargetCurrent=1.0
[1970-01-01 01:01:04.150181] EVRESSSOC=28
[1970-01-01 01:01:04.360191] EVSEPresentVoltage=213.5
[1970-01-01 01:01:04.440189] EVTargetVoltage=345.1
[1970-01-01 01:01:04.440189] EVTargetCurrent=1.0
[1970-01-01 01:01:04.440189] EVRESSSOC=28
[1970-01-01 01:01:04.650176] EVSEPresentVoltage=362.0
[1970-01-01 01:01:04.730174] EVTargetVoltage=345.1
[1970-01-01 01:01:04.730174] EVTargetCurrent=1.0
[1970-01-01 01:01:04.730174] EVRESSSOC=28
[1970-01-01 01:01:04.940184] EVSEPresentVoltage=358.0
[1970-01-01 01:01:05.020182] EVTargetVoltage=345.1
[1970-01-01 01:01:05.020182] EVTargetCurrent=1.0
[1970-01-01 01:01:05.020182] EVRESSSOC=28
[1970-01-01 01:01:05.230169] EVSEPresentVoltage=355.0
[1970-01-01 01:01:05.310167] EVTargetVoltage=345.1
[1970-01-01 01:01:05.310167] EVTargetCurrent=1.0
[1970-01-01 01:01:05.310167] EVRESSSOC=28
[1970-01-01 01:01:05.520177] EVSEPresentVoltage=352.0
[1970-01-01 01:01:05.600175] EVTargetVoltage=345.1
[1970-01-01 01:01:05.600175] EVTargetCurrent=1.0
[1970-01-01 01:01:05.600175] EVRESSSOC=28
[1970-01-01 01:01:05.810162] EVSEPresentVoltage=344.5
[1970-01-01 01:01:07.300181] EVTargetVoltage=345.1
[1970-01-01 01:01:07.300181] EVTargetCurrent=1.0
[1970-01-01 01:01:07.300181] EVRESSSOC=28
[1970-01-01 01:01:07.330158] EVSEPresentVoltage=344.5
[1970-01-01 01:01:07.330158] EVSEPresentCurrent=0.0
[1970-01-01 01:01:07.410168] EVTargetVoltage=412.8
[1970-01-01 01:01:07.410168] EVTargetCurrent=2.0
[1970-01-01 01:01:07.410168] EVRESSSOC=28
[1970-01-01 01:01:07.440332] EVSEPresentVoltage=344.5
[1970-01-01 01:01:07.440332] EVSEPresentCurrent=0.0
[1970-01-01 01:01:07.520179] EVTargetVoltage=412.8
[1970-01-01 01:01:07.520179] EVTargetCurrent=3.0
[1970-01-01 01:01:07.520179] EVRESSSOC=28
[1970-01-01 01:01:07.550155] EVSEPresentVoltage=344.5
[1970-01-01 01:01:07.550155] EVSEPresentCurrent=0.0
[1970-01-01 01:01:07.630166] EVTargetVoltage=412.8
[1970-01-01 01:01:07.630166] EVTargetCurrent=4.0
[1970-01-01 01:01:07.630166] EVRESSSOC=28
[1970-01-01 01:01:07.660166] EVSEPresentVoltage=345.5
[1970-01-01 01:01:07.660166] EVSEPresentCurrent=5.5
[1970-01-01 01:01:07.740176] EVTargetVoltage=412.8
[1970-01-01 01:01:07.740176] EVTargetCurrent=5.0
[1970-01-01 01:01:07.740176] EVRESSSOC=28
[1970-01-01 01:01:07.770316] EVSEPresentVoltage=345.0
[1970-01-01 01:01:07.770316] EVSEPresentCurrent=1.5
[1970-01-01 01:01:07.850163] EVTargetVoltage=412.8
[1970-01-01 01:01:07.850163] EVTargetCurrent=6.0
[1970-01-01 01:01:07.850163] EVRESSSOC=28
[1970-01-01 01:01:07.880188] EVSEPresentVoltage=345.5
[1970-01-01 01:01:07.880188] EVSEPresentCurrent=2.5
[1970-01-01 01:01:07.960173] EVTargetVoltage=412.8
[1970-01-01 01:01:07.960173] EVTargetCurrent=7.0
[1970-01-01 01:01:07.960173] EVRESSSOC=28
[1970-01-01 01:01:07.990260] EVSEPresentVoltage=345.5
[1970-01-01 01:01:07.990260] EVSEPresentCurrent=4.0
[1970-01-01 01:01:08.080193] EVTargetVoltage=412.8
[1970-01-01 01:01:08.080193] EVTargetCurrent=8.0
[1970-01-01 01:01:08.080193] EVRESSSOC=28
[1970-01-01 01:01:08.110149] EVSEPresentVoltage=345.5
[1970-01-01 01:01:08.110149] EVSEPresentCurrent=7.0
[1970-01-01 01:01:08.190178] EVTargetVoltage=412.8
[1970-01-01 01:01:08.190178] EVTargetCurrent=9.0
[1970-01-01 01:01:08.190178] EVRESSSOC=28
[1970-01-01 01:01:08.220322] EVSEPresentVoltage=345.5
[1970-01-01 01:01:08.220322] EVSEPresentCurrent=9.0
[1970-01-01 01:01:08.300169] EVTargetVoltage=412.8
[1970-01-01 01:01:08.300169] EVTargetCurrent=10.0
[1970-01-01 01:01:08.300169] EVRESSSOC=28
[1970-01-01 01:01:08.330146] EVSEPresentVoltage=345.5
[1970-01-01 01:01:08.330146] EVSEPresentCurrent=9.0
[1970-01-01 01:01:08.410156] EVTargetVoltage=412.8
[1970-01-01 01:01:08.410156] EVTargetCurrent=12.0
[1970-01-01 01:01:08.410156] EVRESSSOC=28
[1970-01-01 01:01:08.440247] EVSEPresentVoltage=345.5
[1970-01-01 01:01:08.440247] EVSEPresentCurrent=10.0
[1970-01-01 01:01:08.530157] EVTargetVoltage=412.8
[1970-01-01 01:01:08.530157] EVTargetCurrent=13.0
[1970-01-01 01:01:08.530157] EVRESSSOC=28
[1970-01-01 01:01:08.560246] EVSEPresentVoltage=345.5
[1970-01-01 01:01:08.560246] EVSEPresentCurrent=10.5
[1970-01-01 01:01:08.650155] EVTargetVoltage=412.8
[1970-01-01 01:01:08.650155] EVTargetCurrent=14.0
[1970-01-01 01:01:08.650155] EVRESSSOC=28
[1970-01-01 01:01:08.680184] EVSEPresentVoltage=345.5
[1970-01-01 01:01:08.680184] EVSEPresentCurrent=10.5
[1970-01-01 01:01:08.760165] EVTargetVoltage=412.8
[1970-01-01 01:01:08.760165] EVTargetCurrent=15.0
[1970-01-01 01:01:08.760165] EVRESSSOC=28
[1970-01-01 01:01:08.800315] EVSEPresentVoltage=345.5
[1970-01-01 01:01:08.800315] EVSEPresentCurrent=12.5
[1970-01-01 01:01:08.880195] EVTargetVoltage=412.8
[1970-01-01 01:01:08.880195] EVTargetCurrent=16.0
[1970-01-01 01:01:08.880195] EVRESSSOC=28
[1970-01-01 01:01:08.910140] EVSEPresentVoltage=345.5
[1970-01-01 01:01:08.910140] EVSEPresentCurrent=14.0
[1970-01-01 01:01:08.990191] EVTargetVoltage=412.8
[1970-01-01 01:01:08.990191] EVTargetCurrent=17.0
[1970-01-01 01:01:08.990191] EVRESSSOC=28
[1970-01-01 01:01:09.020313] EVSEPresentVoltage=345.5
[1970-01-01 01:01:09.020313] EVSEPresentCurrent=15.0
[1970-01-01 01:01:09.100161] EVTargetVoltage=412.8
[1970-01-01 01:01:09.100161] EVTargetCurrent=18.0
[1970-01-01 01:01:09.100161] EVRESSSOC=28
[1970-01-01 01:01:09.130137] EVSEPresentVoltage=345.5
[1970-01-01 01:01:09.130137] EVSEPresentCurrent=16.5
[1970-01-01 01:01:09.210148] EVTargetVoltage=412.8
[1970-01-01 01:01:09.210148] EVTargetCurrent=20.0
[1970-01-01 01:01:09.210148] EVRESSSOC=28
[1970-01-01 01:01:09.240238] EVSEPresentVoltage=345.5
[1970-01-01 01:01:09.240238] EVSEPresentCurrent=17.5
[1970-01-01 01:01:09.330147] EVTargetVoltage=412.8
[1970-01-01 01:01:09.330147] EVTargetCurrent=21.0
[1970-01-01 01:01:09.330147] EVRESSSOC=28
[1970-01-01 01:01:09.360146] EVSEPresentVoltage=345.5
[1970-01-01 01:01:09.360146] EVSEPresentCurrent=17.5
[1970-01-01 01:01:09.440157] EVTargetVoltage=412.8
[1970-01-01 01:01:09.440157] EVTargetCurrent=22.0
[1970-01-01 01:01:09.440157] EVRESSSOC=28
[1970-01-01 01:01:09.470296] EVSEPresentVoltage=346.0
[1970-01-01 01:01:09.470296] EVSEPresentCurrent=18.5
[1970-01-01 01:01:09.550144] EVTargetVoltage=412.8
[1970-01-01 01:01:09.550144] EVTargetCurrent=23.0
