# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:58.245510] EVRESSSOC=70
[1970-01-01 01:00:58.395513] EVRESSSOC=70
[1970-01-01 01:00:58.495510] EVRESSSOC=70
[1970-01-01 01:00:58.595513] EVRESSSOC=70
[1970-01-01 01:00:58.695513] EVRESSSOC=70
[1970-01-01 01:00:58.785540] EVRESSSOC=70
[1970-01-01 01:00:59.225480] EVRESSSOC=70
[1970-01-01 01:00:59.315480] EVRESSSOC=70
[1970-01-01 01:00:59.405487] EVRESSSOC=70
[1970-01-01 01:00:59.495492] EVRESSSOC=70
[1970-01-01 01:00:59.585497] EVRESSSOC=70
[1970-01-01 01:00:59.675480] EVRESSSOC=70
[1970-01-01 01:00:59.765481] EVRESSSOC=70
[1970-01-01 01:00:59.855481] EVRESSSOC=70
[1970-01-01 01:00:59.945481] EVRESSSOC=70
[1970-01-01 01:01:00.035481] EVRESSSOC=70
[1970-01-01 01:01:00.125481] EVRESSSOC=70
[1970-01-01 01:01:00.215481] EVRESSSOC=70
[1970-01-01 01:01:00.305488] EVRESSSOC=70
[1970-01-01 01:01:00.395514] EVRESSSOC=70
[1970-01-01 01:01:00.485512] EVRESSSOC=70
[1970-01-01 01:01:00.575481] EVRESSSOC=70
[1970-01-01 01:01:00.665481] EVRESSSOC=70
[1970-01-01 01:01:00.755481] EVRESSSOC=70
[1970-01-01 01:01:00.845481] EVRESSSOC=70
[1970-01-01 01:01:00.935482] EVRESSSOC=70
[1970-01-01 01:01:01.025482] EVRESSSOC=70
[1970-01-01 01:01:01.115482] EVRESSSOC=70
[1970-01-01 01:01:01.205489] EVRESSSOC=70
[1970-01-01 01:01:01.295515] EVRESSSOC=70
[1970-01-01 01:01:01.405489] EVRESSSOC=70
[1970-01-01 01:01:01.495515] EVRESSSOC=70
[1970-01-01 01:01:01.585482] EVRESSSOC=70
[1970-01-01 01:01:01.675482] EVRESSSOC=70
[1970-01-01 01:01:01.765482] EVRESSSOC=70
[1970-01-01 01:01:01.855482] EVRESSSOC=70
[1970-01-01 01:01:01.945482] EVRESSSOC=70
[1970-01-01 01:01:02.035483] EVRESSSOC=70
[1970-01-01 01:01:02.125483] EVRESSSOC=70
[1970-01-01 01:01:02.215483] EVRESSSOC=70
[1970-01-01 01:01:02.305490] EVRESSSOC=70
[1970-01-01 01:01:02.415483] EVRESSSOC=70
[1970-01-01 01:01:02.505490] EVRESSSOC=70
[1970-01-01 01:01:02.595516] EVRESSSOC=70
[1970-01-01 01:01:02.685509] EVRESSSOC=70
[1970-01-01 01:01:02.775483] EVRESSSOC=70
[1970-01-01 01:01:02.865483] EVRESSSOC=70
[1970-01-01 01:01:02.955483] EVRESSSOC=70
[1970-01-01 01:01:03.045483] EVRESSSOC=70
[1970-01-01 01:01:03.135483] EVRESSSOC=70
[1970-01-01 01:01:03.225483] EVRESSSOC=70
[1970-01-01 01:01:03.315483] EVRESSSOC=70
[1970-01-01 01:01:03.405490] EVRESSSOC=70
[1970-01-01 01:01:03.495517] EVRESSSOC=70
[1970-01-01 01:01:03.585510] EVRESSSOC=70
[1970-01-01 01:01:03.675484] EVRESSSOC=70
[1970-01-01 01:01:03.765484] EVRESSSOC=70
[1970-01-01 01:01:03.855484] EVRESSSOC=70
[1970-01-01 01:01:03.945484] EVRESSSOC=70
[1970-01-01 01:01:04.035484] EVRESSSOC=70
[1970-01-01 01:01:04.125484] EVRESSSOC=70
[1970-01-01 01:01:04.215484] EVRESSSOC=70
[1970-01-01 01:01:04.305491] EVRESSSOC=70
[1970-01-01 01:01:04.395517] EVRESSSOC=70
[1970-01-01 01:01:04.485484] EVRESSSOC=70
[1970-01-01 01:01:04.575485] EVRESSSOC=70
[1970-01-01 01:01:04.665485] EVRESSSOC=70
[1970-01-01 01:01:04.755485] EVRESSSOC=70
[1970-01-01 01:01:04.845485] EVRESSSOC=70
[1970-01-01 01:01:04.935485] EVRESSSOC=70
[1970-01-01 01:01:05.025485] EVRESSSOC=70
[1970-01-01 01:01:05.115485] EVRESSSOC=70
[1970-01-01 01:01:05.205492] EVRESSSOC=70
[1970-01-01 01:01:05.295518] EVRESSSOC=70
[1970-01-01 01:01:05.385485] EVRESSSOC=70
[1970-01-01 01:01:05.475485] EVRESSSOC=70
[1970-01-01 01:01:05.565485] EVRESSSOC=70
[1970-01-01 01:01:05.655485] EVRESSSOC=70
[1970-01-01 01:01:05.745486] EVRESSSOC=70
[1970-01-01 01:01:05.835486] EVRESSSOC=70
[1970-01-01 01:01:05.925486] EVRESSSOC=70
[1970-01-01 01:01:06.015486] EVRESSSOC=70
[1970-01-01 01:01:06.105493] EVRESSSOC=70
[1970-01-01 01:01:06.195519] EVRESSSOC=70
[1970-01-01 01:01:06.285512] EVRESSSOC=70
[1970-01-01 01:01:06.375486] EVRESSSOC=70
[1970-01-01 01:01:06.465486] EVRESSSOC=70
[1970-01-01 01:01:06.555486] EVRESSSOC=70
[1970-01-01 01:01:06.645486] EVRESSSOC=70
[1970-01-01 01:01:06.735486] EVRESSSOC=70
[1970-01-01 01:01:06.825486] EVRESSSOC=70
[1970-01-01 01:01:06.915487] EVRESSSOC=70
[1970-01-01 01:01:07.005493] EVRESSSOC=70
[1970-01-01 01:01:07.095520] EVRESSSOC=70
[1970-01-01 01:01:07.185487] EVRESSSOC=70
[1970-01-01 01:01:07.275487] EVRESSSOC=70
[1970-01-01 01:01:07.365487] EVRESSSOC=70
[1970-01-01 01:01:07.455487] EVRESSSOC=70
[1970-01-01 01:01:07.545487] EVRESSSOC=70
[1970-01-01 01:01:07.635487] EVRESSSOC=70
[1970-01-01 01:01:07.725487] EVRESSSOC=70
[1970-01-01 01:01:07.815487] EVRESSSOC=70
[1970-01-01 01:01:07.905494] EVRESSSOC=70
[1970-01-01 01:01:07.995520] EVRESSSOC=70
[1970-01-01 01:01:08.085487] EVRESSSOC=70
[1970-01-01 01:01:08.175488] EVRESSSOC=70
[1970-01-01 01:01:08.265488] EVRESSSOC=70
[1970-01-01 01:01:08.355488] EVRESSSOC=70
[1970-01-01 01:01:08.445488] EVRESSSOC=70
[1970-01-01 01:01:08.535488] EVRESSSOC=70
[1970-01-01 01:01:08.625488] EVRESSSOC=70
[1970-01-01 01:01:08.715488] EVRESSSOC=70
[1970-01-01 01:01:08.805495] EVRESSSOC=70
[1970-01-01 01:01:08.895521] EVRESSSOC=70
[1970-01-01 01:01:08.985488] EVRESSSOC=70
[1970-01-01 01:01:09.075488] EVRESSSOC=70
[1970-01-01 01:01:09.165488] EVRESSSOC=70
[1970-01-01 01:01:09.255488] EVRESSSOC=70
[1970-01-01 01:01:09.345489] EVRESSSOC=70
[1970-01-01 01:01:09.435489] EVRESSSOC=70
[1970-01-01 01:01:09.525489] EVRESSSOC=70
[1970-01-01 01:01:09.615489] EVRESSSOC=70
[1970-01-01 01:01:09.705496] EVRESSSOC=70
[1970-01-01 01:01:09.795522] EVRESSSOC=70
[1970-01-01 01:01:09.885489] EVRESSSOC=70
[1970-01-01 01:01:09.975489] EVRESSSOC=70
[1970-01-01 01:01:10.065489] EVRESSSOC=70
[1970-01-01 01:01:10.155489] EVRESSSOC=70
[1970-01-01 01:01:10.245489] EVRESSSOC=70
[1970-01-01 01:01:10.335489] EVRESSSOC=70
[1970-01-01 01:01:10.425489] EVRESSSOC=70
[1970-01-01 01:01:10.515490] EVRESSSOC=70
[1970-01-01 01:01:10.605496] EVRESSSOC=70
[1970-01-01 01:01:10.695523] EVRESSSOC=70
[1970-01-01 01:01:10.785490] EVRESSSOC=70
[1970-01-01 01:01:10.875490] EVRESSSOC=70
[1970-01-01 01:01:10.965490] EVRESSSOC=70
[1970-01-01 01:01:11.055490] EVRESSSOC=70
[1970-01-01 01:01:11.145490] EVRESSSOC=70
[1970-01-01 01:01:11.235490] EVRESSSOC=70
[1970-01-01 01:01:11.325490] EVRESSSOC=70
[1970-01-01 01:01:11.415490] EVRESSSOC=70
[1970-01-01 01:01:11.505497] EVRESSSOC=70
[1970-01-01 01:01:11.595523] EVRESSSOC=70
[1970-01-01 01:01:11.685490] EVRESSSOC=70
[1970-01-01 01:01:11.775491] EVRESSSOC=70
[1970-01-01 01:01:11.865491] EVRESSSOC=70
[1970-01-01 01:01:11.955490] EVRESSSOC=70
[1970-01-01 01:01:12.045491] EVRESSSOC=70
[1970-01-01 01:01:12.135491] EVRESSSOC=70
[1970-01-01 01:01:12.225491] EVRESSSOC=70
[1970-01-01 01:01:12.315491] EVRESSSOC=70
[1970-01-01 01:01:12.405501] EVRESSSOC=70
[1970-01-01 01:01:12.495524] EVRESSSOC=70
[1970-01-01 01:01:12.585491] EVRESSSOC=70
[1970-01-01 01:01:12.675491] EVRESSSOC=70
[1970-01-01 01:01:12.765491] EVRESSSOC=70
[1970-01-01 01:01:12.855491] EVRESSSOC=70
[1970-01-01 01:01:12.945492] EVRESSSOC=70
[1970-01-01 01:01:13.035492] EVRESSSOC=70
[1970-01-01 01:01:13.125492] EVRESSSOC=70
[1970-01-01 01:01:13.215492] EVRESSSOC=70
[1970-01-01 01:01:13.305506] EVRESSSOC=70
[1970-01-01 01:01:13.615501] EVTargetVoltage=363.8
[1970-01-01 01:01:13.615501] EVTargetCurrent=1.0
[1970-01-01 01:01:13.615501] EVRESSSOC=70
[1970-01-01 01:01:13.645500] EVSEPresentVoltage=0.0
[1970-01-01 01:01:13.725501] EVTargetVoltage=363.8
[1970-01-01 01:01:13.725501] EVTargetCurrent=1.0
[1970-01-01 01:01:13.725501] EVRESSSOC=70
[1970-01-01 01:01:13.735502] EVSEPresentVoltage=95.59
[1970-01-01 01:01:13.815501] EVTargetVoltage=363.8
[1970-01-01 01:01:13.815501] EVTargetCurrent=1.0
[1970-01-01 01:01:13.815501] EVRESSSOC=70
[1970-01-01 01:01:13.825502] EVSEPresentVoltage=91.10000000000001
[1970-01-01 01:01:13.905520] EVTargetVoltage=363.8
[1970-01-01 01:01:13.905520] EVTargetCurrent=1.0
