# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:01:20.037027] EVRESSSOC=90
[1970-01-01 01:01:20.337027] EVRESSSOC=90
[1970-01-01 01:01:20.437027] EVRESSSOC=90
[1970-01-01 01:01:20.537027] EVRESSSOC=90
[1970-01-01 01:01:20.637028] EVRESSSOC=90
[1970-01-01 01:01:20.727034] EVRESSSOC=90
[1970-01-01 01:01:20.817028] EVRESSSOC=90
[1970-01-01 01:01:20.907028] EVRESSSOC=90
[1970-01-01 01:01:21.346997] EVRESSSOC=90
[1970-01-01 01:01:21.436997] EVRESSSOC=90
[1970-01-01 01:01:21.527004] EVRESSSOC=90
[1970-01-01 01:01:21.616997] EVRESSSOC=90
[1970-01-01 01:01:21.706998] EVRESSSOC=90
[1970-01-01 01:01:21.796998] EVRESSSOC=90
[1970-01-01 01:01:21.886998] EVRESSSOC=90
[1970-01-01 01:01:21.976998] EVRESSSOC=90
[1970-01-01 01:01:22.066997] EVRESSSOC=90
[1970-01-01 01:01:22.157031] EVRESSSOC=90
[1970-01-01 01:01:22.246998] EVRESSSOC=90
[1970-01-01 01:01:22.336998] EVRESSSOC=90
[1970-01-01 01:01:22.427005] EVRESSSOC=90
[1970-01-01 01:01:22.516998] EVRESSSOC=90
[1970-01-01 01:01:22.606998] EVRESSSOC=90
[1970-01-01 01:01:22.696998] EVRESSSOC=90
[1970-01-01 01:01:22.786998] EVRESSSOC=90
[1970-01-01 01:01:22.876998] EVRESSSOC=90
[1970-01-01 01:01:22.966998] EVRESSSOC=90
[1970-01-01 01:01:23.057031] EVRESSSOC=90
[1970-01-01 01:01:23.146998] EVRESSSOC=90
[1970-01-01 01:01:23.236998] EVRESSSOC=90
[1970-01-01 01:01:23.327005] EVRESSSOC=90
[1970-01-01 01:01:23.416998] EVRESSSOC=90
[1970-01-01 01:01:23.527005] EVRESSSOC=90
[1970-01-01 01:01:23.616998] EVRESSSOC=90
[1970-01-01 01:01:23.706998] EVRESSSOC=90
[1970-01-01 01:01:23.796998] EVRESSSOC=90
[1970-01-01 01:01:23.886998] EVRESSSOC=90
[1970-01-01 01:01:23.976998] EVRESSSOC=90
[1970-01-01 01:01:24.067006] EVRESSSOC=90
[1970-01-01 01:01:24.157023] EVRESSSOC=90
[1970-01-01 01:01:24.246998] EVRESSSOC=90
[1970-01-01 01:01:24.336998] EVRESSSOC=90
[1970-01-01 01:01:24.427005] EVRESSSOC=90
[1970-01-01 01:01:24.536998] EVRESSSOC=90
