# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:47.640889] EVRESSSOC=57
[1970-01-01 01:00:47.880889] EVRESSSOC=57
[1970-01-01 01:00:47.980890] EVRESSSOC=57
[1970-01-01 01:00:48.080890] EVRESSSOC=57
[1970-01-01 01:00:48.180890] EVRESSSOC=57
[1970-01-01 01:00:48.270930] EVRESSSOC=57
[1970-01-01 01:00:48.360890] EVRESSSOC=57
[1970-01-01 01:00:48.790861] EVRESSSOC=57
[1970-01-01 01:00:48.880861] EVRESSSOC=57
[1970-01-01 01:00:48.970901] EVRESSSOC=57
[1970-01-01 01:00:49.060861] EVRESSSOC=57
[1970-01-01 01:00:49.150861] EVRESSSOC=57
[1970-01-01 01:00:49.240861] EVRESSSOC=57
[1970-01-01 01:00:49.330861] EVRESSSOC=57
[1970-01-01 01:00:49.420862] EVRESSSOC=57
[1970-01-01 01:00:49.510862] EVRESSSOC=57
[1970-01-01 01:00:49.600862] EVRESSSOC=57
[1970-01-01 01:00:49.690862] EVRESSSOC=57
[1970-01-01 01:00:49.780862] EVRESSSOC=57
[1970-01-01 01:00:49.870902] EVRESSSOC=57
[1970-01-01 01:00:49.960862] EVRESSSOC=57
[1970-01-01 01:00:50.050863] EVRESSSOC=57
[1970-01-01 01:00:50.140863] EVRESSSOC=57
[1970-01-01 01:00:50.230863] EVRESSSOC=57
[1970-01-01 01:00:50.320863] EVRESSSOC=57
[1970-01-01 01:00:50.410863] EVRESSSOC=57
[1970-01-01 01:00:50.500864] EVRESSSOC=57
[1970-01-01 01:00:50.590864] EVRESSSOC=57
[1970-01-01 01:00:50.680864] EVRESSSOC=57
[1970-01-01 01:00:50.770904] EVRESSSOC=57
[1970-01-01 01:00:50.860864] EVRESSSOC=57
[1970-01-01 01:00:50.970904] EVRESSSOC=57
[1970-01-01 01:00:51.060864] EVRESSSOC=57
[1970-01-01 01:00:51.150865] EVRESSSOC=57
[1970-01-01 01:00:51.240865] EVRESSSOC=57
[1970-01-01 01:00:51.330865] EVRESSSOC=57
[1970-01-01 01:00:51.420865] EVRESSSOC=57
[1970-01-01 01:00:51.510865] EVRESSSOC=57
[1970-01-01 01:00:51.600865] EVRESSSOC=57
[1970-01-01 01:00:51.690866] EVRESSSOC=57
[1970-01-01 01:00:51.780866] EVRESSSOC=57
[1970-01-01 01:00:51.870903] EVRESSSOC=57
[1970-01-01 01:00:51.980866] EVRESSSOC=57
[1970-01-01 01:00:52.070903] EVRESSSOC=57
[1970-01-01 01:00:52.160866] EVRESSSOC=57
[1970-01-01 01:00:52.250867] EVRESSSOC=57
[1970-01-01 01:00:52.340867] EVRESSSOC=57
[1970-01-01 01:00:52.430867] EVRESSSOC=57
[1970-01-01 01:00:52.520867] EVRESSSOC=57
[1970-01-01 01:00:52.610867] EVRESSSOC=57
[1970-01-01 01:00:52.700867] EVRESSSOC=57
[1970-01-01 01:00:52.790867] EVRESSSOC=57
[1970-01-01 01:00:52.880880] EVRESSSOC=57
[1970-01-01 01:00:52.970896] EVRESSSOC=57
[1970-01-01 01:00:53.060868] EVRESSSOC=57
[1970-01-01 01:00:53.150868] EVRESSSOC=57
[1970-01-01 01:00:53.240868] EVRESSSOC=57
[1970-01-01 01:00:53.330868] EVRESSSOC=57
[1970-01-01 01:00:53.420868] EVRESSSOC=57
[1970-01-01 01:00:53.510869] EVRESSSOC=57
[1970-01-01 01:00:53.600869] EVRESSSOC=57
[1970-01-01 01:00:53.690869] EVRESSSOC=57
[1970-01-01 01:00:53.780897] EVRESSSOC=57
[1970-01-01 01:00:53.870928] EVRESSSOC=57
[1970-01-01 01:00:53.960870] EVRESSSOC=57
[1970-01-01 01:00:54.050870] EVRESSSOC=57
