# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:35.705641] EVRESSSOC=58
[1970-01-01 01:00:35.945613] EVRESSSOC=58
[1970-01-01 01:00:36.045613] EVRESSSOC=58
[1970-01-01 01:00:36.145613] EVRESSSOC=58
[1970-01-01 01:00:36.245613] EVRESSSOC=58
[1970-01-01 01:00:36.335614] EVRESSSOC=58
[1970-01-01 01:00:36.425614] EVRESSSOC=58
[1970-01-01 01:00:36.515620] EVRESSSOC=58
[1970-01-01 01:00:36.835584] EVRESSSOC=58
[1970-01-01 01:00:36.925584] EVRESSSOC=58
[1970-01-01 01:00:37.015591] EVRESSSOC=58
[1970-01-01 01:00:37.105584] EVRESSSOC=58
[1970-01-01 01:00:37.195584] EVRESSSOC=58
[1970-01-01 01:00:37.285584] EVRESSSOC=58
[1970-01-01 01:00:37.375584] EVRESSSOC=58
[1970-01-01 01:00:37.465617] EVRESSSOC=58
[1970-01-01 01:00:37.555584] EVRESSSOC=58
[1970-01-01 01:00:37.645584] EVRESSSOC=58
[1970-01-01 01:00:37.735585] EVRESSSOC=58
[1970-01-01 01:00:37.825585] EVRESSSOC=58
[1970-01-01 01:00:37.915592] EVRESSSOC=58
[1970-01-01 01:00:38.005585] EVRESSSOC=58
[1970-01-01 01:00:38.095585] EVRESSSOC=58
[1970-01-01 01:00:38.185585] EVRESSSOC=58
[1970-01-01 01:00:38.275585] EVRESSSOC=58
[1970-01-01 01:00:38.365618] EVRESSSOC=58
[1970-01-01 01:00:38.455585] EVRESSSOC=58
[1970-01-01 01:00:38.545769] EVRESSSOC=58
[1970-01-01 01:00:38.635585] EVRESSSOC=58
[1970-01-01 01:00:38.725586] EVRESSSOC=58
[1970-01-01 01:00:38.815593] EVRESSSOC=58
[1970-01-01 01:00:38.905586] EVRESSSOC=58
[1970-01-01 01:00:39.015593] EVRESSSOC=58
[1970-01-01 01:00:39.105586] EVRESSSOC=58
[1970-01-01 01:00:39.195586] EVRESSSOC=58
[1970-01-01 01:00:39.285586] EVRESSSOC=58
[1970-01-01 01:00:39.375598] EVRESSSOC=58
[1970-01-01 01:00:39.465607] EVRESSSOC=58
[1970-01-01 01:00:39.555586] EVRESSSOC=58
[1970-01-01 01:00:39.645587] EVRESSSOC=58
[1970-01-01 01:00:39.735587] EVRESSSOC=58
[1970-01-01 01:00:39.825587] EVRESSSOC=58
[1970-01-01 01:00:39.915594] EVRESSSOC=58
[1970-01-01 01:00:40.025587] EVRESSSOC=58
[1970-01-01 01:00:40.115594] EVRESSSOC=58
[1970-01-01 01:00:40.205587] EVRESSSOC=58
[1970-01-01 01:00:40.295587] EVRESSSOC=58
[1970-01-01 01:00:40.385587] EVRESSSOC=58
[1970-01-01 01:00:40.475620] EVRESSSOC=58
[1970-01-01 01:00:40.565587] EVRESSSOC=58
[1970-01-01 01:00:40.655587] EVRESSSOC=58
[1970-01-01 01:00:40.745588] EVRESSSOC=58
[1970-01-01 01:00:40.835588] EVRESSSOC=58
[1970-01-01 01:00:40.925588] EVRESSSOC=58
