# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:31.420191] EVRESSSOC=83
[1970-01-01 01:00:31.610202] EVRESSSOC=83
[1970-01-01 01:00:31.710201] EVRESSSOC=83
[1970-01-01 01:00:31.810200] EVRESSSOC=83
[1970-01-01 01:00:31.910200] EVRESSSOC=83
[1970-01-01 01:00:32.000188] EVRESSSOC=83
[1970-01-01 01:00:32.090199] EVRESSSOC=83
[1970-01-01 01:00:32.400155] EVRESSSOC=83
[1970-01-01 01:00:32.540154] EVRESSSOC=83
[1970-01-01 01:00:32.640153] EVRESSSOC=83
[1970-01-01 01:00:32.740153] EVRESSSOC=83
[1970-01-01 01:00:32.840152] EVRESSSOC=83
[1970-01-01 01:00:32.930163] EVRESSSOC=83
[1970-01-01 01:00:33.020151] EVRESSSOC=83
[1970-01-01 01:00:33.110162] EVRESSSOC=83
[1970-01-01 01:00:33.200150] EVRESSSOC=83
[1970-01-01 01:00:33.290161] EVRESSSOC=83
[1970-01-01 01:00:33.380156] EVRESSSOC=83
[1970-01-01 01:00:33.470160] EVRESSSOC=83
[1970-01-01 01:00:33.560181] EVRESSSOC=83
[1970-01-01 01:00:33.650185] EVRESSSOC=83
[1970-01-01 01:00:33.740147] EVRESSSOC=83
[1970-01-01 01:00:33.830158] EVRESSSOC=83
[1970-01-01 01:00:33.920146] EVRESSSOC=83
[1970-01-01 01:00:34.010157] EVRESSSOC=83
[1970-01-01 01:00:34.100145] EVRESSSOC=83
[1970-01-01 01:00:34.190156] EVRESSSOC=83
[1970-01-01 01:00:34.280150] EVRESSSOC=83
[1970-01-01 01:00:34.370155] EVRESSSOC=83
[1970-01-01 01:00:34.460175] EVRESSSOC=83
[1970-01-01 01:00:34.570153] EVRESSSOC=83
[1970-01-01 01:00:34.660174] EVRESSSOC=83
[1970-01-01 01:00:34.750152] EVRESSSOC=83
[1970-01-01 01:00:34.840140] EVRESSSOC=83
[1970-01-01 01:00:34.930151] EVRESSSOC=83
[1970-01-01 01:00:35.020139] EVRESSSOC=83
[1970-01-01 01:00:35.110150] EVRESSSOC=83
[1970-01-01 01:00:35.200138] EVRESSSOC=83
[1970-01-01 01:00:35.290149] EVRESSSOC=83
[1970-01-01 01:00:35.380144] EVRESSSOC=83
[1970-01-01 01:00:35.470148] EVRESSSOC=83
[1970-01-01 01:00:35.580143] EVRESSSOC=83
[1970-01-01 01:00:35.670147] EVRESSSOC=83
[1970-01-01 01:00:35.760168] EVRESSSOC=83
[1970-01-01 01:00:35.850146] EVRESSSOC=83
[1970-01-01 01:00:35.940134] EVRESSSOC=83
[1970-01-01 01:00:36.030144] EVRESSSOC=83
[1970-01-01 01:00:36.120132] EVRESSSOC=83
[1970-01-01 01:00:36.210144] EVRESSSOC=83
[1970-01-01 01:00:36.300131] EVRESSSOC=83
[1970-01-01 01:00:36.390142] EVRESSSOC=83
[1970-01-01 01:00:36.480137] EVRESSSOC=83
[1970-01-01 01:00:36.570141] EVRESSSOC=83
[1970-01-01 01:00:36.660162] EVRESSSOC=83
[1970-01-01 01:00:36.750140] EVRESSSOC=83
[1970-01-01 01:00:36.840128] EVRESSSOC=83
[1970-01-01 01:00:36.930139] EVRESSSOC=83
[1970-01-01 01:00:37.020127] EVRESSSOC=83
[1970-01-01 01:00:37.110138] EVRESSSOC=83
[1970-01-01 01:00:37.200126] EVRESSSOC=83
[1970-01-01 01:00:37.290137] EVRESSSOC=83
[1970-01-01 01:00:37.380132] EVRESSSOC=83
[1970-01-01 01:00:37.470136] EVRESSSOC=83
[1970-01-01 01:00:37.560157] EVRESSSOC=83
[1970-01-01 01:00:37.650135] EVRESSSOC=83
[1970-01-01 01:00:37.740123] EVRESSSOC=83
[1970-01-01 01:00:37.830134] EVRESSSOC=83
[1970-01-01 01:00:37.920122] EVRESSSOC=83
[1970-01-01 01:00:38.010133] EVRESSSOC=83
[1970-01-01 01:00:38.100121] EVRESSSOC=83
