# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:40.753025] EVRESSSOC=80
[1970-01-01 01:00:40.943020] EVRESSSOC=80
[1970-01-01 01:00:41.043015] EVRESSSOC=80
[1970-01-01 01:00:41.143024] EVRESSSOC=80
[1970-01-01 01:00:41.243019] EVRESSSOC=80
[1970-01-01 01:00:41.333039] EVRESSSOC=80
[1970-01-01 01:00:41.423010] EVRESSSOC=80
[1970-01-01 01:00:41.782978] EVRESSSOC=80
[1970-01-01 01:00:41.872990] EVRESSSOC=80
[1970-01-01 01:00:41.962984] EVRESSSOC=80
[1970-01-01 01:00:42.052989] EVRESSSOC=80
[1970-01-01 01:00:42.143010] EVRESSSOC=80
[1970-01-01 01:00:42.233019] EVRESSSOC=80
[1970-01-01 01:00:42.322976] EVRESSSOC=80
[1970-01-01 01:00:42.412987] EVRESSSOC=80
[1970-01-01 01:00:42.502975] EVRESSSOC=80
[1970-01-01 01:00:42.592986] EVRESSSOC=80
[1970-01-01 01:00:42.682975] EVRESSSOC=80
[1970-01-01 01:00:42.772986] EVRESSSOC=80
[1970-01-01 01:00:42.862980] EVRESSSOC=80
[1970-01-01 01:00:42.952985] EVRESSSOC=80
[1970-01-01 01:00:43.043006] EVRESSSOC=80
[1970-01-01 01:00:43.133010] EVRESSSOC=80
[1970-01-01 01:00:43.222972] EVRESSSOC=80
[1970-01-01 01:00:43.312983] EVRESSSOC=80
[1970-01-01 01:00:43.402971] EVRESSSOC=80
[1970-01-01 01:00:43.492982] EVRESSSOC=80
[1970-01-01 01:00:43.582971] EVRESSSOC=80
[1970-01-01 01:00:43.672982] EVRESSSOC=80
[1970-01-01 01:00:43.762977] EVRESSSOC=80
[1970-01-01 01:00:43.852981] EVRESSSOC=80
[1970-01-01 01:00:43.962976] EVRESSSOC=80
[1970-01-01 01:00:44.052980] EVRESSSOC=80
[1970-01-01 01:00:44.143001] EVRESSSOC=80
[1970-01-01 01:00:44.232979] EVRESSSOC=80
[1970-01-01 01:00:44.322967] EVRESSSOC=80
[1970-01-01 01:00:44.412978] EVRESSSOC=80
[1970-01-01 01:00:44.502966] EVRESSSOC=80
[1970-01-01 01:00:44.592978] EVRESSSOC=80
[1970-01-01 01:00:44.682966] EVRESSSOC=80
[1970-01-01 01:00:44.772977] EVRESSSOC=80
[1970-01-01 01:00:44.862972] EVRESSSOC=80
[1970-01-01 01:00:44.972976] EVRESSSOC=80
[1970-01-01 01:00:45.062971] EVRESSSOC=80
[1970-01-01 01:00:45.152975] EVRESSSOC=80
[1970-01-01 01:00:45.242996] EVRESSSOC=80
[1970-01-01 01:00:45.332974] EVRESSSOC=80
[1970-01-01 01:00:45.422962] EVRESSSOC=80
[1970-01-01 01:00:45.512974] EVRESSSOC=80
[1970-01-01 01:00:45.602962] EVRESSSOC=80
[1970-01-01 01:00:45.692973] EVRESSSOC=80
[1970-01-01 01:00:45.782961] EVRESSSOC=80
[1970-01-01 01:00:45.872972] EVRESSSOC=80
[1970-01-01 01:00:45.962967] EVRESSSOC=80
[1970-01-01 01:00:46.052971] EVRESSSOC=80
[1970-01-01 01:00:46.142992] EVRESSSOC=80
[1970-01-01 01:00:46.232971] EVRESSSOC=80
[1970-01-01 01:00:46.322959] EVRESSSOC=80
[1970-01-01 01:00:46.412970] EVRESSSOC=80
[1970-01-01 01:00:46.502958] EVRESSSOC=80
[1970-01-01 01:00:46.592969] EVRESSSOC=80
[1970-01-01 01:00:46.682957] EVRESSSOC=80
[1970-01-01 01:00:46.772968] EVRESSSOC=80
[1970-01-01 01:00:46.862963] EVRESSSOC=80
[1970-01-01 01:00:46.952967] EVRESSSOC=80
[1970-01-01 01:00:47.042988] EVRESSSOC=80
[1970-01-01 01:00:47.132967] EVRESSSOC=80
[1970-01-01 01:00:47.222955] EVRESSSOC=80
[1970-01-01 01:00:47.312966] EVRESSSOC=80
[1970-01-01 01:00:47.402954] EVRESSSOC=80
[1970-01-01 01:00:47.492965] EVRESSSOC=80
[1970-01-01 01:00:47.582953] EVRESSSOC=80
[1970-01-01 01:00:47.672964] EVRESSSOC=80
[1970-01-01 01:00:47.762959] EVRESSSOC=80
[1970-01-01 01:00:47.852964] EVRESSSOC=80
[1970-01-01 01:00:47.942985] EVRESSSOC=80
[1970-01-01 01:00:48.032963] EVRESSSOC=80
[1970-01-01 01:00:48.122951] EVRESSSOC=80
[1970-01-01 01:00:48.212962] EVRESSSOC=80
[1970-01-01 01:00:48.302950] EVRESSSOC=80
[1970-01-01 01:00:48.392961] EVRESSSOC=80
[1970-01-01 01:00:48.482949] EVRESSSOC=80
[1970-01-01 01:00:48.572961] EVRESSSOC=80
[1970-01-01 01:00:48.662955] EVRESSSOC=80
[1970-01-01 01:00:48.752960] EVRESSSOC=80
[1970-01-01 01:00:48.842981] EVRESSSOC=80
[1970-01-01 01:00:48.932959] EVRESSSOC=80
[1970-01-01 01:00:49.022947] EVRESSSOC=80
[1970-01-01 01:00:49.112958] EVRESSSOC=80
[1970-01-01 01:00:49.202946] EVRESSSOC=80
[1970-01-01 01:00:49.292958] EVRESSSOC=80
[1970-01-01 01:00:49.382945] EVRESSSOC=80
[1970-01-01 01:00:49.472957] EVRESSSOC=80
[1970-01-01 01:00:49.562951] EVRESSSOC=80
[1970-01-01 01:00:49.652956] EVRESSSOC=80
[1970-01-01 01:00:49.742977] EVRESSSOC=80
[1970-01-01 01:00:49.832955] EVRESSSOC=80
[1970-01-01 01:00:49.922943] EVRESSSOC=80
[1970-01-01 01:00:50.012954] EVRESSSOC=80
[1970-01-01 01:00:50.102942] EVRESSSOC=80
[1970-01-01 01:00:50.192954] EVRESSSOC=80
[1970-01-01 01:00:50.282942] EVRESSSOC=80
[1970-01-01 01:00:50.372953] EVRESSSOC=80
[1970-01-01 01:00:50.462948] EVRESSSOC=80
[1970-01-01 01:00:50.552955] EVRESSSOC=80
[1970-01-01 01:00:50.642973] EVRESSSOC=80
[1970-01-01 01:00:50.732951] EVRESSSOC=80
[1970-01-01 01:00:50.822939] EVRESSSOC=80
[1970-01-01 01:00:50.912951] EVRESSSOC=80
[1970-01-01 01:00:51.002939] EVRESSSOC=80
[1970-01-01 01:00:51.092950] EVRESSSOC=80
[1970-01-01 01:00:51.182938] EVRESSSOC=80
[1970-01-01 01:00:51.272949] EVRESSSOC=80
[1970-01-01 01:00:51.362944] EVRESSSOC=80
[1970-01-01 01:00:51.452956] EVRESSSOC=80
[1970-01-01 01:00:51.542957] EVRESSSOC=80
[1970-01-01 01:00:51.632948] EVRESSSOC=80
[1970-01-01 01:00:51.722936] EVRESSSOC=80
[1970-01-01 01:00:51.812947] EVRESSSOC=80
[1970-01-01 01:00:51.902935] EVRESSSOC=80
[1970-01-01 01:00:51.992946] EVRESSSOC=80
[1970-01-01 01:00:52.082934] EVRESSSOC=80
[1970-01-01 01:00:52.172945] EVRESSSOC=80
[1970-01-01 01:00:52.262940] EVRESSSOC=80
[1970-01-01 01:00:52.352973] EVRESSSOC=80
[1970-01-01 01:00:52.442963] EVRESSSOC=80
[1970-01-01 01:00:52.532944] EVRESSSOC=80
[1970-01-01 01:00:52.622932] EVRESSSOC=80
[1970-01-01 01:00:52.712943] EVRESSSOC=80
[1970-01-01 01:00:52.802931] EVRESSSOC=80
[1970-01-01 01:00:52.892942] EVRESSSOC=80
[1970-01-01 01:00:52.982930] EVRESSSOC=80
[1970-01-01 01:00:53.072941] EVRESSSOC=80
[1970-01-01 01:00:53.162936] EVRESSSOC=80
[1970-01-01 01:00:53.252974] EVRESSSOC=80
[1970-01-01 01:00:53.342929] EVRESSSOC=80
[1970-01-01 01:00:53.432940] EVRESSSOC=80
[1970-01-01 01:00:53.522928] EVRESSSOC=80
[1970-01-01 01:00:53.612939] EVRESSSOC=80
[1970-01-01 01:00:53.702927] EVRESSSOC=80
[1970-01-01 01:00:53.792939] EVRESSSOC=80
[1970-01-01 01:00:53.882927] EVRESSSOC=80
[1970-01-01 01:00:53.972938] EVRESSSOC=80
[1970-01-01 01:00:54.062933] EVRESSSOC=80
[1970-01-01 01:00:54.152970] EVRESSSOC=80
[1970-01-01 01:00:54.242925] EVRESSSOC=80
[1970-01-01 01:00:54.332936] EVRESSSOC=80
[1970-01-01 01:00:54.422924] EVRESSSOC=80
[1970-01-01 01:00:54.512935] EVRESSSOC=80
[1970-01-01 01:00:54.602924] EVRESSSOC=80
[1970-01-01 01:00:54.692935] EVRESSSOC=80
[1970-01-01 01:00:54.782923] EVRESSSOC=80
[1970-01-01 01:00:54.872934] EVRESSSOC=80
[1970-01-01 01:00:54.962929] EVRESSSOC=80
[1970-01-01 01:00:55.052966] EVRESSSOC=80
[1970-01-01 01:00:55.142921] EVRESSSOC=80
[1970-01-01 01:00:55.232932] EVRESSSOC=80
[1970-01-01 01:00:55.322920] EVRESSSOC=80
[1970-01-01 01:00:55.412932] EVRESSSOC=80
[1970-01-01 01:00:55.502920] EVRESSSOC=80
[1970-01-01 01:00:55.592931] EVRESSSOC=80
[1970-01-01 01:00:55.682919] EVRESSSOC=80
[1970-01-01 01:00:55.772930] EVRESSSOC=80
[1970-01-01 01:00:55.862925] EVRESSSOC=80
[1970-01-01 01:00:56.172937] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:56.172937] EVTargetCurrent=1.0
[1970-01-01 01:00:56.172937] EVRESSSOC=80
[1970-01-01 01:00:56.202925] EVSEPresentVoltage=0.0
[1970-01-01 01:00:56.282925] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:56.282925] EVTargetCurrent=1.0
[1970-01-01 01:00:56.282925] EVRESSSOC=80
[1970-01-01 01:00:56.292936] EVSEPresentVoltage=72.0
[1970-01-01 01:00:56.372936] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:56.372936] EVTargetCurrent=1.0
[1970-01-01 01:00:56.372936] EVRESSSOC=80
[1970-01-01 01:00:56.382924] EVSEPresentVoltage=100.0
[1970-01-01 01:00:56.462931] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:56.462931] EVTargetCurrent=1.0
[1970-01-01 01:00:56.462931] EVRESSSOC=80
[1970-01-01 01:00:56.472935] EVSEPresentVoltage=97.0
[1970-01-01 01:00:56.552969] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:56.552969] EVTargetCurrent=1.0
[1970-01-01 01:00:56.552969] EVRESSSOC=80
[1970-01-01 01:00:56.562930] EVSEPresentVoltage=97.0
[1970-01-01 01:00:56.642924] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:56.642924] EVTargetCurrent=1.0
[1970-01-01 01:00:56.642924] EVRESSSOC=80
[1970-01-01 01:00:56.652969] EVSEPresentVoltage=158.0
[1970-01-01 01:00:56.732935] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:56.732935] EVTargetCurrent=1.0
[1970-01-01 01:00:56.732935] EVRESSSOC=80
[1970-01-01 01:00:56.742924] EVSEPresentVoltage=249.0
[1970-01-01 01:00:56.822923] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:56.822923] EVTargetCurrent=1.0
[1970-01-01 01:00:56.822923] EVRESSSOC=80
[1970-01-01 01:00:56.832935] EVSEPresentVoltage=338.0
[1970-01-01 01:00:56.912934] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:56.912934] EVTargetCurrent=1.0
[1970-01-01 01:00:56.912934] EVRESSSOC=80
[1970-01-01 01:00:56.922923] EVSEPresentVoltage=371.0
[1970-01-01 01:00:57.002922] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:57.002922] EVTargetCurrent=1.0
[1970-01-01 01:00:57.002922] EVRESSSOC=80
[1970-01-01 01:00:57.012935] EVSEPresentVoltage=372.0
[1970-01-01 01:00:57.092933] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:57.092933] EVTargetCurrent=1.0
[1970-01-01 01:00:57.092933] EVRESSSOC=80
[1970-01-01 01:00:57.102923] EVSEPresentVoltage=372.0
[1970-01-01 01:00:57.182921] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:57.182921] EVTargetCurrent=1.0
[1970-01-01 01:00:57.182921] EVRESSSOC=80
[1970-01-01 01:00:57.192934] EVSEPresentVoltage=372.0
[1970-01-01 01:00:57.272933] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:57.272933] EVTargetCurrent=1.0
[1970-01-01 01:00:57.272933] EVRESSSOC=80
[1970-01-01 01:00:57.282922] EVSEPresentVoltage=372.0
[1970-01-01 01:00:57.362927] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:57.362927] EVTargetCurrent=1.0
[1970-01-01 01:00:57.362927] EVRESSSOC=80
[1970-01-01 01:00:57.372933] EVSEPresentVoltage=373.0
[1970-01-01 01:00:57.452965] EVTargetVoltage=374.8
[1970-01-01 01:00:57.452965] EVTargetCurrent=1.0
[1970-01-01 01:00:57.452965] EVRESSSOC=80
[1970-01-01 01:00:57.462928] EVSEPresentVoltage=373.0
[1970-01-01 01:00:57.542920] EVTargetVoltage=375.1
[1970-01-01 01:00:57.542920] EVTargetCurrent=1.0
[1970-01-01 01:00:57.542920] EVRESSSOC=80
[1970-01-01 01:00:57.552965] EVSEPresentVoltage=373.0
[1970-01-01 01:00:57.632931] EVTargetVoltage=375.1
[1970-01-01 01:00:57.632931] EVTargetCurrent=1.0
[1970-01-01 01:00:57.632931] EVRESSSOC=80
[1970-01-01 01:00:57.642920] EVSEPresentVoltage=373.0
[1970-01-01 01:00:57.722919] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:57.722919] EVTargetCurrent=1.0
[1970-01-01 01:00:57.722919] EVRESSSOC=80
[1970-01-01 01:00:57.732932] EVSEPresentVoltage=374.0
[1970-01-01 01:00:57.812930] EVTargetVoltage=375.20000000000005
[1970-01-01 01:00:57.812930] EVTargetCurrent=1.0
[1970-01-01 01:00:57.812930] EVRESSSOC=80
[1970-01-01 01:00:57.822920] EVSEPresentVoltage=374.0
[1970-01-01 01:00:58.472954] EVTargetVoltage=375.3
[1970-01-01 01:00:58.472954] EVTargetCurrent=1.0
[1970-01-01 01:00:58.472954] EVRESSSOC=80
[1970-01-01 01:00:58.482938] EVSEPresentVoltage=375.0
[1970-01-01 01:00:58.482938] EVSEPresentCurrent=1.3900000000000001
[1970-01-01 01:00:58.562949] EVTargetVoltage=375.3
[1970-01-01 01:00:58.562949] EVTargetCurrent=1.0
[1970-01-01 01:00:58.562949] EVRESSSOC=80
[1970-01-01 01:00:58.572950] EVSEPresentVoltage=375.0
[1970-01-01 01:00:58.572950] EVSEPresentCurrent=1.183
[1970-01-01 01:00:58.652986] EVTargetVoltage=412.8
[1970-01-01 01:00:58.652986] EVTargetCurrent=2.0
[1970-01-01 01:00:58.652986] EVRESSSOC=80
[1970-01-01 01:00:58.662944] EVSEPresentVoltage=375.0
[1970-01-01 01:00:58.662944] EVSEPresentCurrent=0.921
[1970-01-01 01:00:58.742941] EVTargetVoltage=412.8
[1970-01-01 01:00:58.742941] EVTargetCurrent=3.0
[1970-01-01 01:00:58.742941] EVRESSSOC=80
[1970-01-01 01:00:58.752982] EVSEPresentVoltage=375.0
[1970-01-01 01:00:58.752982] EVSEPresentCurrent=0.738
[1970-01-01 01:00:58.832952] EVTargetVoltage=412.8
[1970-01-01 01:00:58.832952] EVTargetCurrent=4.0
[1970-01-01 01:00:58.832952] EVRESSSOC=80
[1970-01-01 01:00:58.842937] EVSEPresentVoltage=375.0
[1970-01-01 01:00:58.842937] EVSEPresentCurrent=0.6990000000000001
[1970-01-01 01:00:58.922940] EVTargetVoltage=412.8
[1970-01-01 01:00:58.922940] EVTargetCurrent=5.0
[1970-01-01 01:00:58.922940] EVRESSSOC=80
[1970-01-01 01:00:58.932948] EVSEPresentVoltage=375.0
[1970-01-01 01:00:58.932948] EVSEPresentCurrent=0.757
[1970-01-01 01:00:59.012951] EVTargetVoltage=412.8
[1970-01-01 01:00:59.012951] EVTargetCurrent=6.0
[1970-01-01 01:00:59.012951] EVRESSSOC=80
[1970-01-01 01:00:59.022936] EVSEPresentVoltage=375.0
[1970-01-01 01:00:59.022936] EVSEPresentCurrent=1.062
[1970-01-01 01:00:59.102940] EVTargetVoltage=412.8
[1970-01-01 01:00:59.102940] EVTargetCurrent=7.0
[1970-01-01 01:00:59.102940] EVRESSSOC=80
[1970-01-01 01:00:59.112947] EVSEPresentVoltage=375.0
[1970-01-01 01:00:59.112947] EVSEPresentCurrent=1.5230000000000001
[1970-01-01 01:00:59.192951] EVTargetVoltage=412.8
[1970-01-01 01:00:59.192951] EVTargetCurrent=8.0
[1970-01-01 01:00:59.192951] EVRESSSOC=80
[1970-01-01 01:00:59.202935] EVSEPresentVoltage=375.0
[1970-01-01 01:00:59.202935] EVSEPresentCurrent=2.07
[1970-01-01 01:00:59.282939] EVTargetVoltage=412.8
[1970-01-01 01:00:59.282939] EVTargetCurrent=9.0
[1970-01-01 01:00:59.282939] EVRESSSOC=80
[1970-01-01 01:00:59.292946] EVSEPresentVoltage=375.0
[1970-01-01 01:00:59.292946] EVSEPresentCurrent=2.656
[1970-01-01 01:00:59.372950] EVTargetVoltage=412.8
[1970-01-01 01:00:59.372950] EVTargetCurrent=10.0
[1970-01-01 01:00:59.372950] EVRESSSOC=80
[1970-01-01 01:00:59.382935] EVSEPresentVoltage=375.0
[1970-01-01 01:00:59.382935] EVSEPresentCurrent=2.945
[1970-01-01 01:00:59.462945] EVTargetVoltage=412.8
[1970-01-01 01:00:59.462945] EVTargetCurrent=10.0
[1970-01-01 01:00:59.462945] EVRESSSOC=80
[1970-01-01 01:00:59.472946] EVSEPresentVoltage=375.0
[1970-01-01 01:00:59.472946] EVSEPresentCurrent=3.492
[1970-01-01 01:00:59.552983] EVTargetVoltage=412.8
[1970-01-01 01:00:59.552983] EVTargetCurrent=11.0
[1970-01-01 01:00:59.552983] EVRESSSOC=80
[1970-01-01 01:00:59.562941] EVSEPresentVoltage=375.0
[1970-01-01 01:00:59.562941] EVSEPresentCurrent=4.023
