# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:46.607383] EVRESSSOC=50
[1970-01-01 01:00:46.797393] EVRESSSOC=50
[1970-01-01 01:00:46.897392] EVRESSSOC=50
[1970-01-01 01:00:46.997392] EVRESSSOC=50
[1970-01-01 01:00:47.097391] EVRESSSOC=50
[1970-01-01 01:00:47.187386] EVRESSSOC=50
[1970-01-01 01:00:47.277390] EVRESSSOC=50
[1970-01-01 01:00:47.367385] EVRESSSOC=50
[1970-01-01 01:00:47.457409] EVRESSSOC=50
[1970-01-01 01:00:47.807344] EVRESSSOC=50
[1970-01-01 01:00:47.897355] EVRESSSOC=50
[1970-01-01 01:00:47.987350] EVRESSSOC=50
[1970-01-01 01:00:48.077354] EVRESSSOC=50
[1970-01-01 01:00:48.167370] EVRESSSOC=50
[1970-01-01 01:00:48.257382] EVRESSSOC=50
[1970-01-01 01:00:48.347340] EVRESSSOC=50
[1970-01-01 01:00:48.437351] EVRESSSOC=50
[1970-01-01 01:00:48.527339] EVRESSSOC=50
[1970-01-01 01:00:48.617350] EVRESSSOC=50
[1970-01-01 01:00:48.707338] EVRESSSOC=50
[1970-01-01 01:00:48.797349] EVRESSSOC=50
[1970-01-01 01:00:48.887344] EVRESSSOC=50
[1970-01-01 01:00:48.977348] EVRESSSOC=50
[1970-01-01 01:00:49.067369] EVRESSSOC=50
[1970-01-01 01:00:49.157372] EVRESSSOC=50
[1970-01-01 01:00:49.247334] EVRESSSOC=50
[1970-01-01 01:00:49.337345] EVRESSSOC=50
[1970-01-01 01:00:49.427333] EVRESSSOC=50
[1970-01-01 01:00:49.517344] EVRESSSOC=50
[1970-01-01 01:00:49.607332] EVRESSSOC=50
[1970-01-01 01:00:49.697343] EVRESSSOC=50
[1970-01-01 01:00:49.787337] EVRESSSOC=50
[1970-01-01 01:00:49.877342] EVRESSSOC=50
[1970-01-01 01:00:49.987336] EVRESSSOC=50
[1970-01-01 01:00:50.077340] EVRESSSOC=50
[1970-01-01 01:00:50.167361] EVRESSSOC=50
[1970-01-01 01:00:50.257339] EVRESSSOC=50
[1970-01-01 01:00:50.347327] EVRESSSOC=50
[1970-01-01 01:00:50.447496] EVRESSSOC=50
[1970-01-01 01:00:50.537337] EVRESSSOC=50
[1970-01-01 01:00:50.627325] EVRESSSOC=50
[1970-01-01 01:00:50.717336] EVRESSSOC=50
[1970-01-01 01:00:50.807324] EVRESSSOC=50
[1970-01-01 01:00:50.897334] EVRESSSOC=50
[1970-01-01 01:00:51.007322] EVRESSSOC=50
[1970-01-01 01:00:51.097333] EVRESSSOC=50
[1970-01-01 01:00:51.187328] EVRESSSOC=50
[1970-01-01 01:00:51.277332] EVRESSSOC=50
[1970-01-01 01:00:51.367353] EVRESSSOC=50
[1970-01-01 01:00:51.457331] EVRESSSOC=50
[1970-01-01 01:00:51.547319] EVRESSSOC=50
[1970-01-01 01:00:51.637329] EVRESSSOC=50
[1970-01-01 01:00:51.727317] EVRESSSOC=50
[1970-01-01 01:00:51.817328] EVRESSSOC=50
[1970-01-01 01:00:51.907316] EVRESSSOC=50
[1970-01-01 01:00:51.997327] EVRESSSOC=50
[1970-01-01 01:00:52.087322] EVRESSSOC=50
[1970-01-01 01:00:52.177326] EVRESSSOC=50
[1970-01-01 01:00:52.267347] EVRESSSOC=50
[1970-01-01 01:00:52.357325] EVRESSSOC=50
[1970-01-01 01:00:52.447312] EVRESSSOC=50
[1970-01-01 01:00:52.537323] EVRESSSOC=50
[1970-01-01 01:00:52.627311] EVRESSSOC=50
[1970-01-01 01:00:52.717322] EVRESSSOC=50
[1970-01-01 01:00:52.807310] EVRESSSOC=50
[1970-01-01 01:00:52.897321] EVRESSSOC=50
[1970-01-01 01:00:52.987316] EVRESSSOC=50
[1970-01-01 01:00:53.077320] EVRESSSOC=50
[1970-01-01 01:00:53.167341] EVRESSSOC=50
[1970-01-01 01:00:53.257318] EVRESSSOC=50
[1970-01-01 01:00:53.347306] EVRESSSOC=50
[1970-01-01 01:00:53.437317] EVRESSSOC=50
[1970-01-01 01:00:53.527305] EVRESSSOC=50
[1970-01-01 01:00:53.617316] EVRESSSOC=50
[1970-01-01 01:00:53.707304] EVRESSSOC=50
[1970-01-01 01:00:53.797315] EVRESSSOC=50
[1970-01-01 01:00:53.887309] EVRESSSOC=50
[1970-01-01 01:00:53.977314] EVRESSSOC=50
[1970-01-01 01:00:54.067334] EVRESSSOC=50
[1970-01-01 01:00:54.157312] EVRESSSOC=50
[1970-01-01 01:00:54.247300] EVRESSSOC=50
[1970-01-01 01:00:54.337311] EVRESSSOC=50
[1970-01-01 01:00:54.427299] EVRESSSOC=50
[1970-01-01 01:00:54.517310] EVRESSSOC=50
[1970-01-01 01:00:54.607298] EVRESSSOC=50
[1970-01-01 01:00:54.697309] EVRESSSOC=50
[1970-01-01 01:00:54.787303] EVRESSSOC=50
[1970-01-01 01:00:54.877308] EVRESSSOC=50
[1970-01-01 01:00:54.967328] EVRESSSOC=50
[1970-01-01 01:00:55.057306] EVRESSSOC=50
[1970-01-01 01:00:55.147294] EVRESSSOC=50
[1970-01-01 01:00:55.237305] EVRESSSOC=50
[1970-01-01 01:00:55.327293] EVRESSSOC=50
[1970-01-01 01:00:55.417304] EVRESSSOC=50
[1970-01-01 01:00:55.507292] EVRESSSOC=50
[1970-01-01 01:00:55.597303] EVRESSSOC=50
[1970-01-01 01:00:55.687297] EVRESSSOC=50
[1970-01-01 01:00:55.777302] EVRESSSOC=50
[1970-01-01 01:00:55.867322] EVRESSSOC=50
[1970-01-01 01:00:55.957300] EVRESSSOC=50
[1970-01-01 01:00:56.047288] EVRESSSOC=50
[1970-01-01 01:00:56.137299] EVRESSSOC=50
[1970-01-01 01:00:56.227287] EVRESSSOC=50
[1970-01-01 01:00:56.317298] EVRESSSOC=50
[1970-01-01 01:00:56.407286] EVRESSSOC=50
[1970-01-01 01:00:56.497297] EVRESSSOC=50
[1970-01-01 01:00:56.587291] EVRESSSOC=50
[1970-01-01 01:00:56.677295] EVRESSSOC=50
[1970-01-01 01:00:56.767316] EVRESSSOC=50
[1970-01-01 01:00:56.857294] EVRESSSOC=50
[1970-01-01 01:00:56.947282] EVRESSSOC=50
[1970-01-01 01:00:57.037293] EVRESSSOC=50
[1970-01-01 01:00:57.127281] EVRESSSOC=50
[1970-01-01 01:00:57.217292] EVRESSSOC=50
[1970-01-01 01:00:57.307280] EVRESSSOC=50
[1970-01-01 01:00:57.397291] EVRESSSOC=50
[1970-01-01 01:00:57.487285] EVRESSSOC=50
[1970-01-01 01:00:57.577297] EVRESSSOC=50
[1970-01-01 01:00:57.667302] EVRESSSOC=50
[1970-01-01 01:00:57.757288] EVRESSSOC=50
[1970-01-01 01:00:57.847276] EVRESSSOC=50
[1970-01-01 01:00:57.937287] EVRESSSOC=50
[1970-01-01 01:00:58.027275] EVRESSSOC=50
[1970-01-01 01:00:58.117286] EVRESSSOC=50
[1970-01-01 01:00:58.207274] EVRESSSOC=50
[1970-01-01 01:00:58.297285] EVRESSSOC=50
[1970-01-01 01:00:58.387279] EVRESSSOC=50
[1970-01-01 01:00:58.477312] EVRESSSOC=50
[1970-01-01 01:00:58.567328] EVRESSSOC=50
[1970-01-01 01:00:58.657282] EVRESSSOC=50
[1970-01-01 01:00:58.747270] EVRESSSOC=50
[1970-01-01 01:00:58.837281] EVRESSSOC=50
[1970-01-01 01:00:58.927269] EVRESSSOC=50
