name,type,start_time,"mosi","miso"
"SPI","result",2.74866708,0xDA,0x00
"SPI","result",2.7486677,0x00,0x00
"SPI","result",2.7486692,0x00,0x00
"SPI","result",2.74866982,0x00,0x00
"SPI","result",2.74868385,0xC2,0x00
"SPI","result",2.74868448,0x00,0x00
"SPI","result",2.7486856,0x00,0x00
"SPI","result",2.74868623,0x00,0x00
"SPI","result",2.74868897,0xC2,0x00
"SPI","result",2.7486896,0x00,0x00
"SPI","result",2.74869072,0x00,0x00
"SPI","result",2.74869135,0x00,0x00
"SPI","result",2.7486941,0xC2,0x00
"SPI","result",2.74869473,0x00,0x00
"SPI","result",2.74869585,0x00,0x00
"SPI","result",2.74869648,0x00,0x00
"SPI","result",2.75866702,0xDA,0x00
"SPI","result",2.75866765,0x00,0x00
"SPI","result",2.75866877,0x00,0x00
"SPI","result",2.7586694,0x00,0x00
"SPI","result",2.75868345,0xC2,0x00
"SPI","result",2.75868405,0x00,0x00
"SPI","result",2.7586852,0x00,0x00
"SPI","result",2.75868583,0x00,0x00
"SPI","result",2.75868857,0xC2,0x00
"SPI","result",2.7586892,0x00,0x00
"SPI","result",2.75869032,0x00,0x00
"SPI","result",2.75869095,0x00,0x00
"SPI","result",2.7586937,0xC2,0x00
"SPI","result",2.75869433,0x00,0x00
"SPI","result",2.75869545,0x00,0x00
"SPI","result",2.75869608,0x00,0x00
"SPI","result",2.7686669,0xDA,0x00
"SPI","result",2.76866753,0x00,0x00
"SPI","result",2.76866865,0x00,0x00
"SPI","result",2.76866928,0x00,0x00
"SPI","result",2.7686833,0xC2,0x00
"SPI","result",2.76868392,0x00,0x00
"SPI","result",2.76868505,0x00,0x00
"SPI","result",2.76868567,0x00,0x00
"SPI","result",2.76868843,0xC2,0x00
"SPI","result",2.76868905,0x00,0x00
"SPI","result",2.76869018,0x00,0x00
"SPI","result",2.7686908,0x00,0x00
"SPI","result",2.76869355,0xC2,0x00
"SPI","result",2.76869417,0x00,0x00
"SPI","result",2.7686953,0x00,0x00
"SPI","result",2.76869592,0x00,0x00
"SPI","result",2.77866695,0xDA,0x00
"SPI","result",2.77866755,0x00,0x00
"SPI","result",2.7786687,0x00,0x00
"SPI","result",2.7786693,0x00,0x00
"SPI","result",2.77868335,0xC2,0x00
"SPI","result",2.77868397,0x00,0x00
"SPI","result",2.7786851,0x00,0x00
"SPI","result",2.77868572,0x00,0x00
"SPI","result",2.77868848,0xC2,0x00
"SPI","result",2.7786891,0x00,0x00
"SPI","result",2.77869023,0x00,0x00
"SPI","result",2.77869085,0x00,0x00
"SPI","result",2.7786936,0xC2,0x00
"SPI","result",2.77869423,0x00,0x00
"SPI","result",2.77869535,0x00,0x00
"SPI","result",2.77869598,0x00,0x00
"SPI","result",2.7886669,0xDA,0x00
"SPI","result",2.78866753,0x00,0x00
"SPI","result",2.78866865,0x00,0x00
"SPI","result",2.78866928,0x00,0x00
"SPI","result",2.7886833,0xC2,0x00
"SPI","result",2.78868392,0x00,0x00
"SPI","result",2.78868505,0x00,0x00
"SPI","result",2.78868567,0x00,0x00
"SPI","result",2.78868843,0xC2,0x00
"SPI","result",2.78868905,0x00,0x00
"SPI","result",2.78869018,0x00,0x00
"SPI","result",2.7886908,0x00,0x00
"SPI","result",2.78869355,0xC2,0x00
"SPI","result",2.78869417,0x00,0x00
"SPI","result",2.7886953,0x00,0x00
"SPI","result",2.78869592,0x00,0x00
"SPI","result",2.79866685,0xDA,0x00
"SPI","result",2.79866747,0x00,0x00
"SPI","result",2.7986686,0x00,0x00
"SPI","result",2.79866922,0x00,0x00
"SPI","result",2.79868325,0xC2,0x00
"SPI","result",2.79868388,0x00,0x00
"SPI","result",2.798685,0x00,0x00
"SPI","result",2.79868563,0x00,0x00
"SPI","result",2.79868837,0xC2,0x00
"SPI","result",2.798689,0x00,0x00
"SPI","result",2.79869012,0x00,0x00
"SPI","result",2.79869075,0x00,0x00
"SPI","result",2.7986935,0xC2,0x00
"SPI","result",2.79869412,0x00,0x00
"SPI","result",2.79869525,0x00,0x00
